Date,My_Color,My_Result,Opening,Total_Moves,Queen_Move,Aggression_Score,Avg_Mobility
2021.05.23,Black,Loss,Uncommon Opening,15,,7.142857142857142,32.642857142857146
2021.05.23,Black,Win,Queen's Pawn Game (d4),30,5.0,44.827586206896555,30.689655172413794
2021.05.23,Black,Win,King's Pawn Game (e4),38,5.0,37.83783783783784,31.243243243243242
2021.05.24,Black,Win,Uncommon Opening,23,3.0,36.36363636363637,38.18181818181818
2021.05.24,White,Win,King's Pawn Game (e4),4,2.0,25.0,32.75
2021.05.24,White,Win,King's Pawn Game (e4),5,2.0,60.0,32.4
2021.06.06,Black,Draw,Van't Kruijs (Nc3),76,8.0,25.333333333333336,24.186666666666667
2021.06.06,White,Loss,King's Pawn Game (e4),5,2.0,0.0,33.0
2021.06.07,Black,Win,King's Pawn Game (e4),5,,25.0,27.25
2021.06.07,White,Win,King's Pawn Game (e4),58,2.0,44.827586206896555,29.137931034482758
2021.06.07,White,Win,King's Pawn Game (e4),14,2.0,23.076923076923077,29.23076923076923
2021.06.07,Black,Loss,King's Pawn Game (e4),17,,37.5,27.0
2021.06.14,Black,Win,Reti (Nf3),13,5.0,58.333333333333336,71.0
2021.06.14,White,Loss,King's Pawn Game (e4),27,2.0,38.46153846153847,40.53846153846154
2021.06.16,Black,Loss,Uncommon Opening,5,,0.0,24.5
2021.06.16,White,Loss,Queen's Pawn Game (d4),9,5.0,25.0,29.5
2021.06.16,Black,Loss,Uncommon Opening,18,14.0,35.294117647058826,31.823529411764707
2021.06.21,White,Loss,King's Pawn Game (e4),5,2.0,0.0,30.75
2021.06.21,Black,Win,Uncommon Opening,10,2.0,44.44444444444444,34.888888888888886
2021.06.21,White,Loss,King's Pawn Game (e4),5,2.0,25.0,32.0
2021.06.21,Black,Loss,Uncommon Opening,6,4.0,60.0,33.2
2021.06.21,White,Loss,Queen's Pawn Game (d4),9,5.0,37.5,23.125
2021.06.21,Black,Win,King's Pawn Game (e4),12,,54.54545454545454,33.36363636363637
2021.06.21,White,Loss,Queen's Pawn Game (d4),15,3.0,28.57142857142857,24.785714285714285
2022.01.20,Black,Loss,King's Pawn Game (e4),26,13.0,16.0,24.44
2022.01.21,Black,Draw,King's Pawn Game (e4),27,9.0,23.076923076923077,26.73076923076923
2022.01.28,White,Loss,King's Pawn Game (e4),16,4.0,20.0,32.4
2022.10.06,White,Win,King's Pawn Game (e4),23,6.0,56.52173913043478,40.0
2022.10.12,White,Win,King's Pawn Game (e4),25,2.0,56.00000000000001,37.52
2022.10.14,Black,Win,King's Pawn Game (e4),30,5.0,55.172413793103445,35.6551724137931
2022.10.17,Black,Loss,King's Pawn Game (e4),23,,27.27272727272727,17.681818181818183
2022.10.17,Black,Win,King's Pawn Game (e4),15,6.0,14.285714285714285,34.642857142857146
2022.10.17,White,Loss,King's Pawn Game (e4),10,2.0,33.33333333333333,30.444444444444443
2022.10.17,Black,Loss,King's Pawn Game (e4),4,2.0,33.33333333333333,29.333333333333332
2021.04.05,White,Loss,King's Pawn Game (e4),11,,0.0,16.1
2021.04.08,White,Loss,King's Pawn Game (e4),11,4.0,40.0,33.7
2021.04.08,Black,Win,Queen's Pawn Game (d4),15,,35.714285714285715,33.714285714285715
2021.04.08,White,Loss,King's Pawn Game (e4),13,,8.333333333333332,34.833333333333336
2021.04.09,Black,Draw,Queen's Pawn Game (d4),13,5.0,41.66666666666667,34.25
2021.04.10,Black,Loss,King's Pawn Game (e4),57,9.0,21.428571428571427,19.267857142857142
2021.04.10,Black,Win,King's Pawn Game (e4),10,3.0,22.22222222222222,38.22222222222222
2021.04.11,White,Win,King's Pawn Game (e4),4,2.0,0.0,31.25
2021.04.11,Black,Loss,Queen's Pawn Game (d4),26,3.0,32.0,34.72
2021.04.12,White,Win,King's Pawn Game (e4),9,7.0,33.33333333333333,35.44444444444444
2021.04.12,Black,Loss,Uncommon Opening,32,4.0,29.03225806451613,21.677419354838708
2021.04.15,White,Win,King's Pawn Game (e4),56,6.0,41.07142857142857,30.053571428571427
2021.04.18,White,Win,King's Pawn Game (e4),21,2.0,28.57142857142857,36.904761904761905
2021.04.18,White,Win,King's Pawn Game (e4),9,2.0,66.66666666666666,33.333333333333336
2021.04.18,Black,Win,King's Pawn Game (e4),8,,42.857142857142854,30.571428571428573
2021.04.18,Black,Loss,King's Pawn Game (e4),13,2.0,25.0,37.166666666666664
2021.04.19,Black,Win,Queen's Pawn Game (d4),43,6.0,52.38095238095239,30.857142857142858
2021.04.19,White,Loss,King's Pawn Game (e4),9,3.0,33.33333333333333,28.333333333333332
2021.04.19,White,Loss,King's Pawn Game (e4),36,3.0,37.142857142857146,21.285714285714285
2021.04.20,Black,Win,King's Pawn Game (e4),14,3.0,61.53846153846154,36.76923076923077
2021.04.20,White,Loss,King's Pawn Game (e4),18,2.0,23.52941176470588,28.88235294117647
